# Please refer to 10.5281/zenodo.5525214 for details on 
# the dataset and the link to the publication!
#
# >>>Preliminary Dataset<<<
# As the article has not yet been peer-reviewed
# (Data exported on 2021-09-24)
# 
# Relative charge (QY) and light (LY) yields from internal Rn222 data using the
# HeXe setup. Included (absolute) uncertainties are statistical (stat) and systematic (syst).
# Statistical uncertainties cover one standard deviation.Correspondence can be directed to Florian Joerg (fjoerg@mpi-hd.mpg.de)
# Coloumns are as follows:
# Field [kV/cm],Field_sig,QY(222Rn),QY_stat(222Rn),QY_syst(222Rn),LY(222Rn),LY_stat(222Rn),LY_syst(222Rn),QY(218Po),QY_stat(218Po),QY_syst(218Po),LY(218Po),LY_stat(218Po),LY_syst(218Po),QY(214Po),QY_stat(214Po),QY_syst(214Po),LY(214Po),LY_stat(214Po),LY_syst(214Po)
# 
5.019912e-01,3.830101e-03,8.737050e-03,1.930252e-06,1.231676e-03,9.904480e-01,4.952240e-04,6.931792e-03,8.854438e-03,2.994252e-06,1.248121e-03,9.904134e-01,4.952067e-04,6.999939e-03,9.374889e-03,2.228005e-05,1.322056e-03,9.896501e-01,2.240229e-03,9.387831e-03
1.004262e+00,8.697798e-03,1.203194e-02,2.536138e-06,1.697034e-03,9.867903e-01,4.933952e-04,6.675139e-03,1.223684e-02,4.269559e-06,1.726103e-03,9.861978e-01,4.930989e-04,6.282041e-03,1.313633e-02,3.321693e-05,1.854538e-03,9.838732e-01,2.447913e-03,7.808704e-03
3.714173e-02,3.721907e-03,2.522299e-03,2.004303e-06,3.829089e-04,1.012004e+00,5.060021e-04,2.445360e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.714181e-02,3.721906e-03,2.321668e-03,1.354690e-06,3.358254e-04,1.010191e+00,5.050954e-04,5.337339e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.260448e-01,3.211574e-03,5.846735e-03,1.635170e-06,8.242732e-04,9.936119e-01,4.968060e-04,5.916720e-03,5.898114e-03,2.221982e-06,8.312511e-04,9.939472e-01,4.969736e-04,7.079978e-03,6.100581e-03,1.605865e-05,8.600094e-04,9.956121e-01,2.613757e-03,8.372731e-03
5.885954e-01,4.027139e-03,9.414502e-03,2.374372e-06,1.327884e-03,9.916772e-01,4.958386e-04,6.881254e-03,9.557501e-03,3.777472e-06,1.347979e-03,9.915622e-01,4.957811e-04,7.418044e-03,1.020873e-02,2.675739e-05,1.443191e-03,9.969792e-01,2.635762e-03,8.567895e-03
1.125476e+00,1.018629e-02,1.257765e-02,2.844387e-06,1.774214e-03,9.873868e-01,4.936934e-04,6.963415e-03,1.281157e-02,4.907233e-06,1.807432e-03,9.868182e-01,4.934091e-04,6.937144e-03,1.377002e-02,3.226923e-05,1.941553e-03,9.863956e-01,2.880772e-03,8.376965e-03
6.131053e-02,3.614503e-03,3.210077e-03,8.771150e-07,4.684627e-04,1.007137e+00,5.035687e-04,5.230699e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.846601e-01,3.189788e-03,6.599074e-03,1.743687e-06,9.303562e-04,9.933951e-01,4.966976e-04,6.660608e-03,6.669628e-03,2.459896e-06,9.400875e-04,9.935177e-01,4.967589e-04,7.361710e-03,6.960052e-03,1.636988e-05,9.815689e-04,9.945714e-01,2.394625e-03,5.403359e-03
6.820637e-01,4.860289e-03,1.009492e-02,2.427803e-06,1.423301e-03,9.898177e-01,4.949088e-04,6.352527e-03,1.024919e-02,3.929433e-06,1.445036e-03,9.897555e-01,4.948778e-04,6.583012e-03,1.089969e-02,3.102654e-05,1.537161e-03,9.824180e-01,3.077546e-03,6.419778e-03
1.359214e+00,1.290117e-02,1.318306e-02,4.444813e-06,1.859571e-03,9.874782e-01,4.937391e-04,6.994121e-03,1.345065e-02,7.782780e-06,1.897286e-03,9.871807e-01,5.113094e-04,7.295855e-03,1.452475e-02,5.373968e-05,2.049148e-03,9.925694e-01,3.986911e-03,1.426147e-02
1.459653e+00,1.397715e-02,1.333717e-02,4.433015e-06,1.881633e-03,9.883391e-01,4.941695e-04,7.115298e-03,1.359077e-02,7.924644e-06,1.917890e-03,9.876079e-01,4.982582e-04,7.090412e-03,1.459650e-02,5.913223e-05,2.059890e-03,9.791812e-01,4.730952e-03,4.398175e-03
1.560091e+00,1.504928e-02,1.333702e-02,1.080219e-05,1.882189e-03,9.882489e-01,8.747403e-04,7.493315e-03,1.357940e-02,1.909002e-05,1.917103e-03,9.864512e-01,1.248063e-03,5.759103e-03,1.477891e-02,1.278890e-04,2.107110e-03,9.751506e-01,6.814615e-03,3.502830e-02
9.209262e-02,3.515484e-03,3.718162e-03,1.375949e-06,5.241031e-04,1.003133e+00,5.015663e-04,6.393417e-03,3.719718e-03,1.866600e-06,5.239925e-04,1.004251e+00,5.021255e-04,6.403547e-03,3.720342e-03,2.517775e-05,5.348695e-04,9.992723e-01,2.892996e-03,5.862401e-03
3.501372e-01,3.222563e-03,7.340129e-03,2.253877e-06,1.034781e-03,9.938024e-01,4.969012e-04,6.556709e-03,7.416044e-03,3.401531e-06,1.045339e-03,9.937143e-01,4.968571e-04,6.775751e-03,7.763969e-03,2.559744e-05,1.094918e-03,9.918462e-01,3.392425e-03,6.390626e-03
7.825998e-01,6.017445e-03,1.076665e-02,3.086639e-06,1.518220e-03,9.912136e-01,4.956068e-04,6.600574e-03,1.095010e-02,5.055938e-06,1.543922e-03,9.915679e-01,4.957839e-04,6.841790e-03,1.173598e-02,3.824619e-05,1.657597e-03,9.942010e-01,3.315729e-03,5.869411e-03
1.026739e-02,4.110423e-03,1.384875e-03,1.830357e-06,3.208892e-04,1.046156e+00,5.230778e-04,1.770492e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.299014e-01,3.413128e-03,4.437076e-03,1.679143e-06,6.255918e-04,9.959313e-01,4.979656e-04,5.921773e-03,4.454080e-03,2.352858e-06,6.279577e-04,9.965925e-01,4.982962e-04,6.199106e-03,4.494084e-03,2.341473e-05,6.346825e-04,9.921372e-01,3.166871e-03,7.569710e-03
1.162344e-02,4.064591e-03,1.383213e-03,1.788717e-06,2.342532e-04,1.026675e+00,5.133373e-04,1.312486e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.632753e-02,3.949892e-03,1.576193e-03,1.747240e-06,2.308552e-04,1.016853e+00,5.084267e-04,4.788185e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.225517e-01,3.067504e-03,8.003326e-03,2.574116e-06,1.128399e-03,9.908978e-01,4.954489e-04,6.498932e-03,8.106374e-03,3.977051e-06,1.142691e-03,9.912702e-01,4.956351e-04,6.859488e-03,8.537516e-03,2.892958e-05,1.204276e-03,9.832911e-01,3.943289e-03,8.575449e-03
8.899851e-01,7.304350e-03,1.134070e-02,3.448746e-06,1.599366e-03,9.863342e-01,4.931671e-04,6.682350e-03,1.152988e-02,6.064727e-06,1.626082e-03,9.856592e-01,4.928296e-04,6.756119e-03,1.242049e-02,4.087372e-05,1.752392e-03,9.881684e-01,3.437043e-03,1.181729e-02
2.012563e-02,3.885846e-03,1.889075e-03,2.294662e-06,2.871712e-04,1.016454e+00,5.082269e-04,1.149059e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.744942e-01,3.196546e-03,5.149792e-03,2.075292e-06,7.260390e-04,9.932235e-01,4.966117e-04,5.986560e-03,5.190090e-03,2.814189e-06,7.313920e-04,9.933086e-01,4.966543e-04,5.790700e-03,5.308396e-03,2.229540e-05,7.492931e-04,9.927810e-01,2.913228e-03,4.739293e-03
5.019912e-01,3.830101e-03,8.689797e-03,2.927952e-06,1.225281e-03,9.893277e-01,4.946639e-04,6.541870e-03,8.803448e-03,4.800970e-06,1.241284e-03,9.897294e-01,4.948647e-04,6.696240e-03,9.356912e-03,3.465397e-05,1.318498e-03,9.910259e-01,4.640066e-03,7.768109e-03
1.004262e+00,8.697797e-03,1.196039e-02,3.873431e-06,1.685784e-03,9.849596e-01,4.924798e-04,6.264262e-03,1.216465e-02,6.683659e-06,1.714397e-03,9.848934e-01,4.924467e-04,7.290206e-03,1.310990e-02,4.816903e-05,1.850244e-03,9.952858e-01,4.007884e-03,1.127993e-02
3.714179e-02,3.721906e-03,2.510018e-03,2.555693e-06,3.874841e-04,1.016670e+00,5.672985e-04,2.329811e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.260447e-01,3.211574e-03,5.924337e-03,2.402220e-06,8.354020e-04,9.965653e-01,4.982827e-04,7.066082e-03,5.973154e-03,3.387112e-06,8.419930e-04,9.970197e-01,5.006148e-04,6.731762e-03,6.181361e-03,2.492368e-05,8.728525e-04,9.964412e-01,3.796681e-03,1.317307e-02
5.885955e-01,4.027139e-03,9.427304e-03,4.803949e-06,1.329897e-03,9.905081e-01,5.632827e-04,7.085215e-03,9.571726e-03,7.478352e-06,1.349924e-03,9.910895e-01,7.123383e-04,6.409325e-03,1.019662e-02,7.043223e-05,1.442498e-03,9.926047e-01,5.769701e-03,7.902851e-03
1.125476e+00,1.018629e-02,1.251414e-02,4.621902e-06,1.764452e-03,9.870334e-01,4.935167e-04,7.305400e-03,1.275187e-02,7.863402e-06,1.798408e-03,9.869841e-01,5.364382e-04,5.875033e-03,1.385122e-02,5.809698e-05,1.954076e-03,9.938570e-01,4.126438e-03,9.470834e-03
2.846603e-01,3.189767e-03,6.614056e-03,2.728337e-06,9.320715e-04,9.961631e-01,4.980816e-04,6.030775e-03,6.681295e-03,3.809508e-06,9.412610e-04,9.970413e-01,5.126082e-04,6.954590e-03,6.998922e-03,2.707420e-05,9.859316e-04,1.001539e+00,4.650597e-03,7.821182e-03
1.258775e+00,1.182735e-02,1.300659e-02,4.761418e-06,1.834099e-03,9.908339e-01,4.954169e-04,6.901854e-03,1.326402e-02,7.855204e-06,1.870509e-03,9.895157e-01,5.301864e-04,7.015816e-03,1.433595e-02,6.293866e-05,2.020764e-03,9.900205e-01,4.999325e-03,4.473860e-03
1.359214e+00,1.290117e-02,1.321999e-02,7.976119e-06,1.867955e-03,9.918877e-01,6.838960e-04,5.185687e-03,1.347496e-02,1.370430e-05,1.904538e-03,9.898260e-01,9.274512e-04,6.129429e-03,1.448937e-02,1.155027e-04,2.048047e-03,9.784580e-01,8.022586e-03,2.046765e-02
1.162352e-02,4.064588e-03,1.652764e-03,2.570931e-06,3.523436e-04,1.046684e+00,5.313590e-04,2.508668e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.632751e-02,3.949893e-03,1.813660e-03,2.215990e-06,2.650619e-04,1.032320e+00,5.404923e-04,1.542828e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.459985e+00,1.381936e-02,1.329400e-02,7.573790e-06,1.874243e-03,9.904943e-01,6.636568e-04,6.411392e-03,1.354164e-02,1.333968e-05,1.909629e-03,9.910940e-01,8.877975e-04,7.269076e-03,1.473314e-02,8.592948e-05,2.079381e-03,9.930721e-01,6.294751e-03,6.346855e-03
1.560424e+00,1.488661e-02,1.337378e-02,1.156898e-05,1.950342e-03,9.902362e-01,9.586669e-04,5.141659e-03,1.363229e-02,2.066977e-05,1.990792e-03,9.886726e-01,1.313683e-03,4.724682e-03,1.481575e-02,2.081564e-04,2.160771e-03,9.982492e-01,1.219701e-02,1.102244e-02
1.660530e+00,1.612440e-02,1.343993e-02,1.087930e-05,1.894350e-03,9.923351e-01,8.715613e-04,7.149590e-03,1.372401e-02,1.879133e-05,1.934388e-03,9.904111e-01,1.239336e-03,9.747028e-03,1.490288e-02,1.071526e-04,2.114944e-03,9.987078e-01,9.627679e-03,1.767416e-02
